Frequency (Hz)	|Z| (ohms)	Phase of Z (deg)	
1000000	415.230066323561	-43.8146272602309	
926118.75	482.087433930971	-70.4611691345342	
857695.875	595.784610080136	-82.5080958969381	
794328.25	779.979059369106	-96.7279476747212	
735642.25	1090.53865619201	-102.386694989461	
681292.0625	1450.60763615214	-103.91368287492	
630957.375	1844.46297248755	-100.884181299156	
584341.4375	2161.07455779942	-99.1178200674153	
541169.5	2521.71169196639	-97.1776591055208	
501187.21875	3026.51383749474	-95.4402076821945	
464158.875	3170.93089500426	-91.209122559657	
429866.25	3791.16124327596	-91.7869157843356	
398107.15625	3865.24653662254	-88.2536505706073	
368694.5	4581.53793877142	-89.3870778544807	
341454.875	5192.97455260091	-84.9829580934476	
316227.78125	4911.26898438303	-85.1723657337351	
292864.46875	6653.32604985145	-87.6097533743374	
271227.25	7408.01399177208	-84.4989210456132	
251188.640625	8048.74660318582	-84.1622527253472	
232630.5	8775.71261284113	-83.2995450692288	
215443.46875	9635.51337698298	-82.6219210279246	
199526.234375	10333.6217632631	-82.0601196355796	
184784.984375	11134.9063201445	-80.7103495399319	
171132.828125	11820.140213609	-79.9528948969999	
158489.3125	12795.163157069	-78.5298654529327	
146779.921875	13763.3246023441	-78.403569682244	
135935.640625	14853.6784972364	-77.5586169833164	
125892.5390625	15886.6803085848	-77.6915603804162	
116591.4375	17224.9855054421	-76.2185896759162	
107977.515625	18422.1302768568	-76.1840319951406	
100000	18852.7433227637	-75.0037151284013	
92611.875	19728.920222701	-75.198074226345	
85769.59375	22382.6609653926	-76.0831059904054	
79432.8203125	22698.4700059383	-73.3682034944092	
73564.2265625	24376.4580219834	-72.8317619141675	
68129.203125	25992.209049987	-73.5696015186176	
63095.734375	27584.805820261	-69.9242693325579	
58434.140625	29966.2429799705	-70.4409171921237	
54116.953125	31842.4432022738	-67.4980059811416	
50118.72265625	34808.4721897404	-67.6006639181287	
46415.88671875	35849.6446314147	-66.4928035187872	
42986.625	37832.2604283931	-67.5667292934522	
39810.71875	41437.5535369756	-65.6441132323799	
36869.44921875	45686.0115626657	-63.1770901120966	
34145.48828125	45487.5172673806	-58.6528873509814	
31622.77734375	48729.4577146251	-61.6060064271187	
29286.4453125	55083.8784586732	-55.2729599643348	
27122.7265625	56698.3232775029	-53.5649458811096	
25118.865234375	59943.0981735984	-52.0593307412897	
23263.05078125	62767.6705182915	-50.3073776385542	
21544.34765625	65612.7407319561	-48.79430729965	
19952.623046875	68465.5258984158	-46.7791574027947	
18478.498046875	71613.5528448482	-45.0371518510247	
17113.283203125	73878.9653824726	-43.6880528208369	
15848.931640625	76747.0259733458	-41.7345175925827	
14677.9931640625	78151.8234917363	-40.7471662283464	
13593.5634765625	82160.7900937891	-37.906240991893	
12589.25390625	83218.6262167053	-36.235191300249	
11659.1435546875	85799.9014787169	-35.1100892570198	
10797.751953125	89004.6715514544	-32.9031013866512	
10000	91212.6427647218	-31.2962046700378	
9261.1875	93900.422317653	-29.9918975835023	
8576.958984375	95976.7971838277	-28.5280785028975	
7943.2822265625	97770.7079992247	-27.7969303756392	
7356.42236328125	96742.0837738552	-25.1184955255739	
6812.9208984375	101321.31183171	-23.6459436496918	
6309.5732421875	102699.50005963	-22.8181567814884	
5843.4140625	102178.948887048	-21.1779625021951	
5411.6953125	103376.156816714	-20.7803001916712	
5011.87255859375	104528.020467272	-19.0327057613905	
4641.5888671875	105654.06201808	-18.0846629536026	
4298.662109375	107935.035715237	-17.3030347932981	
3981.07177734375	108783.377641728	-15.9344261350236	
3686.94506835938	106502.752027232	-15.2764728667965	
3414.548828125	109044.984073053	-14.4786509457768	
3162.27758789063	110339.026661935	-14.2308600867705	
2928.64453125	111166.592521938	-12.2386309631854	
2712.2724609375	111820.770346905	-11.6073710343065	
2511.88647460938	112185.562546643	-11.0956897655686	
2326.30517578125	112648.969078184	-10.5996087302621	
2154.4345703125	113199.983986318	-10.0813762675834	
1995.26232910156	113851.987841963	-9.62753953321468	
1847.84985351563	114347.57585058	-9.25800362229123	
1711.32824707031	114791.407774797	-8.94176138061061	
1584.89318847656	115276.915578626	-8.56914558393635	
1467.79931640625	115806.607058889	-8.25917623547615	
1359.3564453125	116090.693538987	-7.93206666946591	
1258.92541503906	116579.811945412	-7.63410967604434	
1165.91442871094	117047.818506988	-7.48090776312066	
1079.77514648438	117527.382106944	-7.27438511819877	
1000	118309.121480962	-5.0324292214993	
926.118713378906	118559.244262524	-4.98668059449102	
857.695922851563	119062.242164288	-4.99906079303072	
794.328247070313	119405.353357102	-4.90345640500176	
735.642272949219	119848.385850587	-4.95274931323525	
