Frequency (Hz)	Zre (ohms)	Zim (ohms)	
1000000	280.948190759414	172.077532317289	
926118.75	327.457316624622	49.705147286098	
857695.875	355.266669171274	-29.3473009249678	
794328.25	386.866505916649	-137.259695799191	
735642.25	449.847544892896	-218.826478805138	
681292.0625	536.301140161633	-274.954746414685	
630957.375	632.851765947972	-284.059840713578	
584341.4375	705.164202012181	-290.953312907937	
541169.5	775.904137704648	-280.955704235082	
501187.21875	815.207512165622	-249.312330943399	
464158.875	857.184998998317	-221.98077268545	
429866.25	881.368870627289	-200.756325151802	
398107.15625	911.291554987474	-183.675587088109	
368694.5	927.833161805767	-165.669344062836	
341454.875	933.390596790944	-157.020511031818	
316227.78125	944.345025922255	-143.74186442614	
292864.46875	889.76650475244	-78.1756696298712	
271227.25	912.431483457313	-72.0227163033196	
251188.640625	928.40197592826	-68.323092918395	
232630.5	942.170739496624	-63.7367688507522	
215443.46875	952.466752373763	-61.1901967310029	
199526.234375	960.215382660384	-56.7867017012343	
184784.984375	964.523186876181	-52.0266015475886	
171132.828125	969.429983510171	-49.6975340990134	
158489.3125	969.472610144488	-47.8961851870789	
146779.921875	973.885897480196	-42.5174224123864	
135935.640625	977.417026049944	-40.4038165594535	
125892.5390625	980.018434668734	-35.3884948392008	
116591.4375	981.985871548395	-33.4066495293206	
107977.515625	985.444389812452	-30.227313135653	
100000	987.745806929749	-26.540044485293	
92611.875	990.165106497003	-24.8690132686261	
85769.59375	991.053443010099	-23.0135006054928	
79432.8203125	992.804359479133	-21.2258372454316	
73564.2265625	993.213970410977	-20.1394275369498	
68129.203125	994.854647197653	-17.9587227027935	
63095.734375	995.508737998638	-16.883559141487	
58434.140625	996.1688664339	-16.8266639038541	
54116.953125	996.744089883172	-15.1239058721672	
50118.72265625	996.760802909445	-14.7610319345243	
46415.88671875	997.740976061687	-13.0860894248232	
42986.625	998.61532792853	-12.5826597298678	
39810.71875	998.662549654735	-11.4890151879073	
36869.44921875	999.44107473476	-12.4289100775622	
34145.48828125	999.611687287975	-10.6803998574956	
31622.77734375	997.7514587986	-11.0944281998954	
29286.4453125	1000.27484227174	18.7248713995085	
27122.7265625	999.473756651972	15.298129018485	
25118.865234375	999.668434415657	13.2652539313623	
23263.05078125	998.30135286044	12.5337763549476	
21544.34765625	998.745279101109	11.4143010042156	
19952.623046875	997.505737888624	9.99384258463429	
18478.498046875	998.175679909425	8.59877248973411	
17113.283203125	998.335390357194	8.88442645280029	
15848.931640625	998.477621148836	6.8390468458003	
14677.9931640625	998.560929511047	6.9956453772287	
13593.5634765625	999.864242528305	6.38484368859151	
12589.25390625	999.050936193059	6.93043737950211	
11659.1435546875	999.409485398579	6.27190881864017	
10797.751953125	998.809684167191	3.84913440967853	
10000	1001.54570976086	7.82954876354473	
9261.1875	1001.49840109747	8.17998452952543	
8576.958984375	1001.06392395389	5.24559725725344	
7943.2822265625	1001.69727791094	2.66903662105471	
7356.42236328125	1001.71649426326	3.03689093407753	
6812.9208984375	1001.67064620189	3.54747931445025	
6309.5732421875	1001.52932195267	2.63471804271439	
5843.4140625	1002.16961624577	2.72748573345955	
5411.6953125	1001.43959347081	2.16534096983507	
5011.87255859375	1001.26200177271	0.808824893139653	
4641.5888671875	1001.83421164166	1.29944555943721	
4298.662109375	1000.78290907379	-0.32669590603677	
3981.07177734375	1000.73510145079	-0.50018618592941	
3686.94506835938	1000.93708474442	-1.20798842613467	
3414.548828125	1001.4860168912	-1.27891136386379	
3162.27758789063	1001.3242822342	-1.44384050857004	
2928.64453125	1001.8233468444	-2.76000449952527	
2712.2724609375	1002.03521009974	-3.92801221943165	
2511.88647460938	1000.96761805342	-4.50234763377265	
2326.30517578125	1001.44010748186	-4.26031223363628	
2154.4345703125	1000.89116561328	-5.85004218235805	
1995.26232910156	1001.42387095798	-5.6180846606919	
1847.84985351563	1001.619058544	-6.99475973018637	
1711.32824707031	1001.63409129921	-7.67771813457293	
1584.89318847656	1001.44827405918	-8.36741033755963	
1467.79931640625	1001.6260002602	-9.26471963954082	
1359.3564453125	1001.48516429362	-10.04444082214	
1258.92541503906	1001.46795393748	-11.3071835492063	
1165.91442871094	1001.47483539571	-11.9437963245397	
1079.77514648438	1001.46805435377	-13.4772336358093	
1000	1001.50554246651	-14.2379926144439	
926.118713378906	1001.39046640553	-15.4915304836588	
857.695922851563	1001.63253836473	-17.2046040371029	
794.328247070313	1001.16549708211	-18.0828973171967	
735.642272949219	1001.47972311544	-20.1574813175046	
681.292053222656	1001.14900144311	-22.0674806487057	
630.957336425781	1001.36025805227	-23.9008174083921	
584.341430664063	1001.15849522118	-25.610091800009	
541.169555664063	1001.27048678865	-28.0754283785668	
501.187225341797	1001.30865729565	-29.9234603071562	
464.158874511719	1001.89570584944	-32.5987492846062	
429.866241455078	1001.59300602213	-35.6182187281318	
398.107177734375	1001.63791297557	-38.1474720205338	
368.694519042969	1001.79252381652	-41.1989520427615	
341.454895019531	1001.91899569349	-45.1746893194314	
316.227752685547	1001.20414545951	-49.3851523538474	
292.864471435547	1002.08147192231	-52.4832253303277	
271.227264404297	1001.74960031547	-57.3019101124391	
251.18864440918	1001.80153668641	-60.607678332307	
232.630508422852	1001.94670867351	-66.497590226833	
215.443466186523	1001.98222294147	-71.3650903510792	
199.526229858398	1002.46729539515	-77.5897450826643	
