Frequency (Hz)	Zre (ohms)	Zim (ohms)
100000	7.853444099	0.23586379
92611.875	7.908108711	0.04605649
85769.58594	7.962181091	-0.122665174
79432.82031	8.008172035	-0.300128549
73564.21875	8.071035385	-0.480102271
68129.20313	8.076705933	-0.641174674
63095.73047	8.17782402	-0.805147052
58434.14063	8.233182907	-0.98530829
54116.95313	8.288572311	-1.142198324
50118.71875	8.341627121	-1.296000719
46415.88672	8.419874191	-1.479281664
42986.62109	8.480156898	-1.645188928
39810.71484	8.548766136	-1.815486431
36869.44922	8.616550446	-1.995905995
34145.48828	8.688016891	-2.178750753
31622.77734	8.771357536	-2.35867691
29286.44336	8.853988647	-2.551773787
27122.7207	8.93966198	-2.755810738
25118.86328	9.028876305	-2.96565032
23263.04688	9.123396873	-3.176258564
21544.3457	9.219913483	-3.408754826
19952.62109	9.325129509	-3.635745049
18478.49805	9.435700417	-3.878748417
17113.28125	9.561547279	-4.138523102
15848.92871	9.684515953	-4.409262657
14677.99121	9.824285507	-4.68787241
13593.56152	9.962528229	-4.985714436
12589.25391	10.13103294	-5.299247265
11659.14258	10.29155922	-5.622128487
10797.75098	10.47579384	-5.963107586
10000	10.65421963	-6.323451996
9261.18457	10.87307549	-6.700097084
8576.958008	11.08138943	-7.095871925
7943.281738	11.32284737	-7.510632992
7356.420898	11.58931351	-7.944896221
6812.919434	11.85555267	-8.391530991
6309.572754	12.16022968	-8.86724472
5843.414063	12.47977829	-9.364691734
5411.693848	12.82915115	-9.879878998
5011.871582	13.19420052	-10.43164444
4641.588379	13.60182095	-10.99018002
4298.661133	14.03455448	-11.58124638
3981.071045	14.50473881	-12.18463802
3686.944336	15.01657772	-12.80801105
3414.548584	15.55201149	-13.45850754
3162.276855	16.1456852	-14.13657284
2928.644043	16.75328445	-14.82301903
2712.272217	17.44651222	-15.51549911
2511.885498	18.16443443	-16.25
2326.304443	18.93909836	-16.98421097
2154.434326	19.76173973	-17.72853661
1995.262085	20.67397499	-18.4657383
1847.849243	21.6077137	-19.22731781
1711.328003	22.61628151	-19.98711967
1584.892944	23.67378235	-20.71941566
1467.799072	24.80212212	-21.44771576
1359.355957	25.96767807	-22.17040825
1258.925171	27.20264435	-22.87880135
1165.914307	28.50676918	-23.54722023
1079.77478	29.85350609	-24.19453049
1000	31.25709915	-24.81338882
926.1182251	32.73065948	-25.39801598
857.6955566	34.22599792	-25.92874336
794.3280029	35.73938751	-26.43005371
735.6420898	37.33264923	-26.88396645
681.2919312	38.92267227	-27.26288414
630.9572754	40.53788757	-27.57773972
584.3413696	42.20762634	-27.88027382
541.1692505	43.87755966	-28.16799164
501.1870117	45.5382309	-28.32759476
464.1586914	47.22065735	-28.50647354
429.8660889	48.91031647	-28.59155846
398.1070557	50.60379791	-28.59700775
368.694458	52.26119995	-28.63219261
341.4548645	53.94556427	-28.55661774
316.2276001	55.61287689	-28.42465782
292.8642883	57.20051193	-28.30062103
271.2271423	58.86210251	-28.14923286
251.1885529	60.40587616	-27.87007904
232.6304626	61.97158432	-27.76785851
215.4434357	63.38869095	-27.37580681
199.5261993	64.93883514	-27.13351822
184.7848816	66.39050293	-26.65343094
171.1327515	67.79292297	-26.38819885
158.4892578	69.22250366	-25.95762825
146.7798767	70.4257431	-25.51986504
135.9355927	71.75390625	-25.34781647
125.8925095	72.91807556	-24.89660263
116.591423	74.18006897	-24.44998169
107.9774475	75.31471252	-24.18891144
99.99994659	76.4545517	-23.81467056
92.61183167	77.57572937	-23.38927841
85.76956177	78.57629395	-23.10728455
79.43280029	79.62071228	-22.77580833
73.56420135	80.65332031	-22.48631287
68.12918854	81.65608215	-22.27079582
63.0956955	82.64220428	-21.98049545
58.43410492	83.49223328	-21.76341248
54.11692429	84.45131683	-21.56943512
50.11869812	85.30715179	-21.36086655
46.41587067	86.1427002	-21.25308037
42.98661041	87.01287842	-21.25730324
39.81070709	88.01319885	-21.18445778
36.8694458	88.76793671	-21.11035728
34.14546967	89.62635803	-21.07055283
31.62275887	90.55109406	-21.18665314
29.28643036	91.3784256	-21.15829659
27.122715	92.23946381	-21.3162384
25.11885452	93.02477264	-21.34509087
23.26304436	93.92195892	-21.55413437
21.54434395	94.81181335	-21.68560219
19.95261002	95.68086243	-21.85048485
18.47848701	96.68999481	-22.1297226
17.11327362	97.48787689	-22.33541298
15.84892464	98.43714142	-22.63868523
14.6779871	99.46662903	-23.00326538
13.59355927	100.3448792	-23.25935173
12.58925152	101.3350601	-23.57520485
11.65913582	102.3306656	-24.02730942
10.79774475	103.2292786	-24.33924866
10	104.4052582	-24.6359272
9.261178017	105.4734573	-25.26139069
8.576950073	106.3649063	-25.71240425
7.943274975	107.4789963	-26.11685944
7.356416702	108.7238388	-26.620327
6.812915802	109.6762695	-27.27973366
6.309569359	110.7070923	-27.64455032
5.843410492	112.078949	-28.25832176
5.411692619	113.3922119	-29.09142876
5.011870384	114.4506912	-29.76330757
4.641587257	115.6223984	-30.40022659
4.298661232	117.0439453	-31.02405357
3.981070757	118.435524	-31.83801079
3.686944485	119.6751862	-32.83558655
3.414548635	120.8594284	-33.66114426
3.162277699	122.2096558	-34.30239868
2.928641558	123.7571945	-35.13694763
2.712270021	125.3741302	-36.15058899
