Frequency (Hz)	Zre (ohms)	Zim (ohms)	
100000	6.75104379653931	0.0416842401027679	
92611.875	6.79575490951538	-0.114648722112179	
85769.5859375	6.86894941329956	-0.267689019441605	
79432.8203125	6.92018842697144	-0.384517669677734	
73564.21875	6.99674844741821	-0.562811076641083	
68129.203125	7.05962896347046	-0.699025332927704	
63095.73046875	7.10387945175171	-0.837592422962189	
58434.140625	7.16971302032471	-0.962626338005066	
54116.953125	7.23728370666504	-1.1013650894165	
50118.71875	7.30231666564941	-1.23595237731934	
46415.88671875	7.36603164672852	-1.37018978595734	
42986.62109375	7.44001865386963	-1.50599539279938	
39810.71484375	7.51123189926147	-1.6422563791275	
36869.44921875	7.5877161026001	-1.77963125705719	
34145.48828125	7.66339015960693	-1.92033171653748	
31622.77734375	7.74243307113647	-2.06644773483276	
29286.443359375	7.82274675369263	-2.21099948883057	
27122.720703125	7.91168117523193	-2.36691236495972	
25118.86328125	8.00346374511719	-2.51931118965149	
23263.046875	8.10084247589111	-2.67960953712463	
21544.345703125	8.20008850097656	-2.8452787399292	
19952.62109375	8.30309963226318	-3.01278376579285	
18478.498046875	8.415771484375	-3.19438219070435	
17113.28125	8.52945041656494	-3.37691283226013	
15848.9287109375	8.65342426300049	-3.5676281452179	
14677.9912109375	8.78189277648926	-3.7660801410675	
13593.5615234375	8.9140157699585	-3.97852611541748	
12589.25390625	9.05722332000732	-4.19088077545166	
11659.142578125	9.20864963531494	-4.41729211807251	
10797.7509765625	9.36686992645264	-4.65122747421265	
10000	9.52987194061279	-4.89440965652466	
9261.1845703125	9.70787620544434	-5.14695310592651	
8576.9580078125	9.89815616607666	-5.41084432601929	
7943.28173828125	10.0946645736694	-5.688551902771	
7356.4208984375	10.3086776733398	-5.97690200805664	
6812.91943359375	10.5260448455811	-6.2778172492981	
6309.57275390625	10.7638397216797	-6.58523654937744	
5843.4140625	11.0121011734009	-6.91385698318481	
5411.69384765625	11.2783155441284	-7.25090932846069	
5011.87158203125	11.5595378875732	-7.60540437698364	
4641.58837890625	11.8541793823242	-7.96070861816406	
4298.6611328125	12.1696300506592	-8.3402271270752	
3981.07104492188	12.5049571990967	-8.7342357635498	
3686.9443359375	12.8486499786377	-9.14338970184326	
3414.54858398438	13.224702835083	-9.55549144744873	
3162.27685546875	13.6194229125977	-9.99173355102539	
2928.64404296875	14.0325126647949	-10.4349927902222	
2712.27221679688	14.474663734436	-10.8959064483643	
2511.88549804688	14.9465494155884	-11.3699178695679	
2326.30444335938	15.4330234527588	-11.8638782501221	
2154.43432617188	15.9500141143799	-12.3676795959473	
1995.26208496094	16.4985942840576	-12.877269744873	
1847.84924316406	17.0783596038818	-13.4117736816406	
1711.32800292969	17.6986656188965	-13.9687929153442	
1584.89294433594	18.331169128418	-14.5026350021362	
1467.79907226563	19.0205516815186	-15.0801095962524	
1359.35595703125	19.7360210418701	-15.630298614502	
1258.92517089844	20.4814701080322	-16.2226333618164	
1165.91430664063	21.2802200317383	-16.8049907684326	
1079.77478027344	22.1163673400879	-17.4042816162109	
1000	22.9890995025635	-18.0092468261719	
926.118225097656	23.9202175140381	-18.6023559570313	
857.695556640625	24.8733596801758	-19.195405960083	
794.328002929688	25.9016742706299	-19.8077087402344	
735.64208984375	26.9651012420654	-20.4117889404297	
681.291931152344	28.0656051635742	-20.9906673431396	
630.957275390625	29.2233009338379	-21.5478115081787	
584.341369628906	30.4118556976318	-22.0805358886719	
541.169250488281	31.6727695465088	-22.6056842803955	
501.18701171875	32.978630065918	-23.1195793151855	
464.15869140625	34.3293724060059	-23.5902404785156	
429.866088867188	35.7184715270996	-24.053373336792	
398.107055664063	37.1695442199707	-24.4149284362793	
368.694458007813	38.634651184082	-24.77907371521	
341.454864501953	40.1224784851074	-25.0765171051025	
316.227600097656	41.6915702819824	-25.3521060943604	
292.864288330078	43.2556648254395	-25.5306034088135	
271.227142333984	44.8395538330078	-25.6617679595947	
251.188552856445	46.4694213867188	-25.7397365570068	
232.630462646484	48.1021385192871	-25.7361869812012	
215.443435668945	49.6907806396484	-25.7417621612549	
199.52619934082	51.3253746032715	-25.5889568328857	
184.784881591797	52.8063659667969	-25.3851299285889	
171.132751464844	54.4877853393555	-25.1472244262695	
158.4892578125	55.9719696044922	-24.783130645752	
146.779876708984	57.4049224853516	-24.4445610046387	
135.935592651367	58.9324188232422	-24.0881118774414	
125.892509460449	60.2508277893066	-23.6855716705322	
116.591423034668	61.6179962158203	-23.0987930297852	
