Frequency (Hz)	Zre (ohms)	Zim (ohms)
10000	26.70596552	-0.402105667
8912.509766	26.6032587	-0.340387164
7943.282227	26.480361	-0.254963934
7079.458008	26.39360251	-0.349399204
6309.573242	26.53693358	-0.190388579
5623.413086	26.66998467	-0.266591123
5011.872559	26.99014245	-0.218187215
4466.835938	26.70965361	-0.253156548
3981.071777	26.38703488	-0.133769259
3548.133789	26.38824719	-0.099098964
3162.277588	26.7804305	-0.232398518
2818.382813	26.82192918	-0.18993706
2511.886475	26.97561831	-0.211481781
2238.721191	26.7155658	-0.194803973
1995.262329	26.55155726	-0.193851234
1778.279419	26.52397139	-0.166908522
1584.893188	26.45634255	-0.225489181
1412.537598	26.89287124	-0.20216086
1258.925415	26.91160516	-0.178997785
1122.018433	26.60506941	-0.202013266
1000	26.37414788	-0.220970421
891.2509155	26.37287455	-0.191708907
794.3282471	26.78833888	-0.231587113
707.9458008	26.78669102	-0.253741715
630.9573364	26.45576682	-0.267445509
562.3413086	26.50765612	-0.337502288
501.1872253	26.90292869	-0.343489737
446.6835938	26.62826936	-0.355668993
398.1071777	26.53223097	-0.376566678
354.813385	26.6194356	-0.437252279
316.2277527	26.92194706	-0.47261989
281.8382874	27.00420033	-0.475154205
251.1886444	26.54439686	-0.567821605
223.8721161	26.65250238	-0.647708252
199.5262299	27.02357724	-0.735289661
177.8279419	26.89561415	-0.701542491
158.4893188	26.71896872	-0.924713549
141.2537537	26.93374577	-0.876381953
125.89254	27.00051938	-1.033278137
112.2018433	26.7528719	-1.183247554
100	27.1421264	-1.30861478
89.12509155	27.12932186	-1.471841066
79.43282318	26.96288172	-1.669348195
70.79457855	26.94728489	-1.929867436
63.09573364	26.75585099	-1.887340249
56.23413086	27.24819175	-2.254852352
50.11872482	26.96678802	-2.671085814
44.66835785	26.99621085	-2.7706807
39.81071854	27.26301079	-3.201373384
35.4813385	27.19165157	-3.313793462
31.62277603	27.35073992	-4.243063473
28.18383026	27.21431004	-4.127187331
25.11886406	27.13058804	-4.373717065
22.38721085	28.24553183	-6.155825568
19.95262337	27.24860889	-5.74995166
17.78279495	27.98301653	-6.039237175
15.84893227	27.87827555	-7.15424878
14.12537575	29.17578032	-8.448437997
12.58925438	28.49564259	-8.752672341
11.22018433	29.24122366	-9.02777641
10	29.41633265	-10.32143799
8.912508965	31.00183381	-12.81799685
7.943282127	31.76338133	-11.94652331
7.07945776	32.96303353	-13.54364736
6.30957365	33.42933105	-15.28949911
5.623413086	33.45826424	-17.73187868
5.011872292	36.55136664	-18.80098957
4.466835976	37.98473636	-18.0920926
3.981071711	40.90171117	-19.43291401
3.54813385	41.64725829	-20.93235566
3.162277699	43.76304987	-21.06776569
2.818382978	46.42564245	-21.42862448
2.511886358	48.79707816	-21.89676211
2.238721132	50.35807231	-21.70986607
1.995262265	52.41953218	-21.48461163
1.778279424	54.65366299	-20.99965031
1.584893227	58.03678149	-19.69935454
1.412537575	59.53222235	-20.84574694
1.258925438	61.30812367	-19.83339305
1.122018456	63.69874229	-20.11187478
1	64.10048027	-17.7686216
0.891250908	65.29587093	-16.67160211
0.794328213	63.27992638	-12.88272576
0.707945764	70.26968796	-10.10187501
0.630957365	70.33420078	-13.49810531
0.562341332	70.43278972	-11.60626272
0.501187205	71.26886469	-11.67081983
0.446683586	71.25233872	-11.25959171
0.398107171	72.89765209	-10.15973724
0.354813397	78.47785606	-8.634358191
0.316227764	75.22278369	-11.85994185
0.281838298	76.12970846	-8.694099934
0.251188636	77.15695606	-8.143409764
0.22387211	74.65982752	-7.851511
0.199526235	74.41856728	-6.959995865
0.177827939	77.93162257	-8.725054822
0.158489317	76.75302908	-9.856581852
0.141253754	77.42302502	-4.4202221
0.125892535	77.46604444	-4.585369154
0.112201847	74.69700727	-4.008896206
0.100000001	74.86914729	-5.002963606
