Frequency (Hz)	Zre (ohms)	Zim (ohms)
10000	26.37304339	-0.688222399
8912.509766	26.54827391	-0.593779845
7943.282227	26.7215142	-0.726201601
7079.458008	26.85786996	-0.613508623
6309.573242	27.142322	-0.574696453
5623.413086	27.01909677	-0.642236627
5011.872559	26.7760548	-0.693459349
4466.835938	26.62135133	-0.679512097
3981.071777	27.00177875	-0.744047959
3548.133789	26.95888417	-0.620786012
3162.277588	27.20875966	-0.751376368
2818.382813	27.15798951	-0.673261507
2511.886475	27.00093781	-0.930497684
2238.721191	26.84542617	-0.848069287
1995.262329	27.02876337	-0.7844709
1778.279419	27.39705644	-0.819788705
1584.893188	27.49078038	-0.841366718
1412.537598	27.17605269	-0.917999548
1258.925415	27.04233804	-0.948548329
1122.018433	27.09880545	-1.005768463
1000	27.49835748	-1.062767764
891.2509155	27.60744045	-1.143564435
794.3282471	27.51288555	-1.201246189
707.9458008	27.23594251	-1.365186357
630.9573364	27.51125166	-1.433985741
562.3413086	27.77960143	-1.554661289
501.1872253	27.41325501	-1.688821632
446.6835938	27.1585174	-1.840903691
398.1071777	27.27346501	-2.015673499
354.813385	27.75180372	-2.263023874
316.2277527	27.6767793	-2.457543545
281.8382874	27.53914432	-2.715625759
251.1886444	27.48290911	-2.962319066
223.8721161	27.99749348	-3.297645107
199.5262299	28.07104104	-3.701207322
177.8279419	27.73751495	-4.081947438
158.4893188	27.7890694	-4.583939166
141.2537537	28.11960549	-5.102186948
125.89254	27.96339271	-5.594865342
112.2018433	27.85688495	-6.23867882
100	28.45689385	-6.96706509
89.12509155	28.39243807	-7.735749748
79.43282318	28.55225102	-8.633011507
70.79457855	28.47013909	-9.534428724
63.09573364	28.56057489	-10.60852862
56.23413086	29.09905362	-11.74645305
50.11872482	29.05256169	-13.21444617
44.66835785	29.05810117	-14.84254429
39.81071854	29.75423375	-16.51308817
35.4813385	29.62383605	-18.13295157
31.62277603	30.33457738	-20.1584814
28.18383026	30.27756183	-22.49574709
25.11886406	31.16132701	-24.96823155
22.38721085	31.60761958	-28.03634582
19.95262337	32.48399672	-31.33551698
17.78279495	32.80855898	-34.2073233
15.84893227	33.79267494	-38.21229316
14.12537575	35.06245554	-42.57532926
12.58925438	36.16471086	-46.89105701
11.22018433	37.64564316	-51.83573504
10	39.30452058	-57.41258768
8.912508965	41.45627078	-63.27646778
7.943282127	42.88006272	-69.92516135
7.07945776	46.33927652	-76.43828452
6.30957365	48.86961948	-85.37562248
5.623413086	51.73404443	-93.69556159
5.011872292	55.90670088	-102.9887521
4.466835976	60.65576946	-111.4366537
3.981071711	62.60683011	-122.1973415
3.54813385	68.40893854	-133.5797322
3.162277699	74.06445493	-146.2721857
2.818382978	78.2752706	-160.8546118
2.511886358	85.9094206	-175.2985309
2.238721132	91.44044199	-193.352732
1.995262265	99.40298054	-210.9607405
1.778279424	108.9862005	-232.1047769
1.584893227	118.8044943	-254.1519841
1.412537575	129.9451661	-278.6728983
1.258925438	144.050525	-304.8985004
1.122018456	161.5120269	-334.1014315
1	180.4401556	-365.3337823
0.891250908	198.7128484	-396.8111069
0.794328213	224.8733705	-432.2458222
0.707945764	254.455594	-472.1131145
0.630957365	288.7965915	-509.6397838
0.562341332	332.9171386	-551.7633857
0.501187205	377.5091298	-593.0517358
0.446683586	432.8841214	-627.2741585
0.398107171	493.5488031	-665.861355
0.354813397	551.2320725	-698.0821963
0.316227764	621.9502929	-727.8090895
0.281838298	699.5342378	-766.5538497
0.251188636	773.924085	-785.4805733
0.22387211	876.252937	-789.8202376
0.199526235	963.7060915	-796.2473068
0.177827939	1024.41945	-789.9284185
0.158489317	1114.536756	-771.2907412
0.141253754	1203.286964	-790.8854847
0.125892535	1278.914995	-773.8651681
0.112201847	1367.180798	-712.9646136
0.100000001	1437.763697	-683.6608451
